x,y,pitchType,pitchTypeFull,type,Vel,HorzBrk,IndVertBrk,RelX,RelZ,StuffPlus
-0.1188303529,-0.2688443483,FA,Fastball,Fastball,96.9,-3,6.6,-1.2,6.4,90
-0.4834489412,-1.322405427,FA,Fastball,Fastball,96.2,-5,8.9,-1.7,6.2,83
-0.1056601412,0.1530581796,FA,Fastball,Fastball,95.8,-4.2,11.1,-1.7,6.2,81
1.86456,0.9640313123,FA,Fastball,Fastball,97.6,0.9,13.6,-1.7,6.2,82
-1.390853647,0.4755850691,FA,Fastball,Fastball,95.2,-2.6,10.3,-1.8,6.2,79
0.8930611765,0.1126688189,FA,Fastball,Fastball,96.7,3.8,6.6,-1.7,6.3,84
-1.198353882,-1.45671409,SL,Slider,Slider,84.6,-11.4,-8.7,-1.5,6.2,114
0.1103481882,-0.07003284156,FA,Fastball,Fastball,95.4,0.3,3.4,-1.8,6.3,89
-0.843768,-1.931835413,SL,Slider,Slider,83.7,-10,-13.8,-1.7,6.1,109
-0.6689378824,-2.056537182,SL,Slider,Slider,84.1,-17.5,-11.8,-1.4,6.2,127
0.09296724706,-0.5120138028,FA,Fastball,Fastball,97.8,1.8,7.9,-1.7,6.2,88
-0.8423322353,-0.313170564,FA,Fastball,Fastball,95.9,-4.1,0.3,-1.7,6.2,98
1.377482824,0.3393621287,FA,Fastball,Fastball,96.7,-1.7,11.3,-1.3,6.3,82
-1.242249882,-1.454197516,FA,Fastball,Fastball,97.1,1.4,7.5,-1.3,6.2,87
-0.7017515294,1.974175034,FA,Fastball,Fastball,97.3,-1.9,11,-1.3,6.2,84
-1.077711529,-1.802958827,SL,Slider,Slider,85.6,-11.2,-7.4,-1.3,6.1,121
0.8535698824,-0.7586642018,FA,Fastball,Fastball,94.9,1.6,4.3,-1.7,6.2,85
-1.141064471,-1.145487596,FA,Fastball,Fastball,96.3,-1.1,7.6,-1.5,6.2,85
-1.003228235,-0.4089940676,SL,Slider,Slider,85.5,-17.3,-6.6,-1.4,6.1,136
